date,day_name,month_name,video_views,profile_views,likes,comments,shares,engagement_total,engagement_rate,cluster,performance_category
2026-02-23,Monday,February,1600358,5266,34656,-164,6064,40556,2.534182976558995,2,Rendah
2026-02-24,Tuesday,February,4328609,12610,117664,4493,16989,139146,3.2145661573960593,2,Rendah
2026-02-25,Wednesday,February,20156401,40123,1029127,15588,166269,1210984,6.007937627357186,1,Tinggi
2026-02-26,Thursday,February,10128937,22408,489167,5168,63836,558171,5.510657238760593,0,Sedang
2026-02-27,Friday,February,4590969,11161,183957,1236,18267,203460,4.43174414813082,0,Sedang
2026-02-28,Saturday,February,2812076,7102,67917,435,5180,73532,2.614865316584616,2,Rendah
2026-03-01,Sunday,March,6902111,18996,237432,4098,16230,257760,3.734509630459435,0,Sedang
2026-03-02,Monday,March,15476492,39376,811476,13561,305855,1130892,7.307159787889918,1,Tinggi
2026-03-03,Tuesday,March,23610976,57676,1079170,13535,412148,1504853,6.373531530420429,1,Tinggi
2026-03-04,Wednesday,March,20119457,46009,875633,21125,220604,1117362,5.553638947611757,1,Tinggi
2026-03-05,Thursday,March,25827776,59563,904774,19162,214128,1138064,4.406356939134055,1,Tinggi
2026-03-06,Friday,March,19830723,51772,950778,14539,153820,1119137,5.643450316965247,1,Tinggi
2026-03-07,Saturday,March,26259987,87314,1103354,14026,156240,1273620,4.850040481741289,1,Tinggi
2026-03-08,Sunday,March,20406549,65214,855828,17363,104079,977270,4.789001805253794,1,Tinggi
2026-03-09,Monday,March,14982043,44979,575366,9575,81363,666304,4.4473507384807265,0,Sedang
2026-03-10,Tuesday,March,11049411,27699,346972,5546,51768,404286,3.6588918631047394,0,Sedang
2026-03-11,Wednesday,March,6475638,15609,166687,3439,26757,196883,3.0403645169788676,2,Rendah
2026-03-12,Thursday,March,5159802,33804,127272,499,16620,144391,2.798382573594878,2,Rendah
2026-03-13,Friday,March,4218824,39400,119706,310,11078,131094,3.1073588279577438,2,Rendah
2026-03-14,Saturday,March,2494467,7716,53138,375,8234,61747,2.4753584633510886,2,Rendah
2026-03-15,Sunday,March,4461542,79806,135638,732,9214,145584,3.2630870672068086,0,Sedang
2026-03-16,Monday,March,1826189,8424,39601,173,5758,45532,2.4932797207736987,2,Rendah
2026-03-17,Tuesday,March,3479078,11337,136507,2314,17230,156051,4.485412514465039,0,Sedang
2026-03-18,Wednesday,March,5485536,13852,209063,5236,29369,243668,4.442008948624164,0,Sedang
2026-03-19,Thursday,March,6831449,61743,190466,2335,15739,208540,3.052646663980072,0,Sedang
2026-03-20,Friday,March,1613668,8819,43980,-635,3862,47207,2.9254468701120677,2,Rendah
2026-03-21,Saturday,March,882069,3581,20520,-277,1750,21993,2.493342357570666,2,Rendah
2026-03-22,Sunday,March,1041438,4863,25831,-539,2400,27692,2.6590157071280287,2,Rendah
2026-03-23,Monday,March,1408627,4949,36209,-149,9395,45455,3.226901088790716,2,Rendah
2026-03-24,Tuesday,March,1038055,4445,29096,-522,3765,32339,3.1153455260077743,2,Rendah
2026-03-25,Wednesday,March,929468,3590,22895,-368,2669,25196,2.7107980048802114,2,Rendah
2026-03-26,Thursday,March,995827,3916,24833,-322,3183,27694,2.7810051344259596,2,Rendah
2026-03-27,Friday,March,1962680,6634,54782,172,4459,59413,3.027136364562741,2,Rendah
2026-03-28,Saturday,March,1408217,4811,39078,284,4567,43929,3.1194766147546864,2,Rendah
2026-03-29,Sunday,March,1615295,4830,58368,124,5530,64022,3.9634865458012314,2,Rendah
2026-03-30,Monday,March,3645051,7853,145780,2172,13486,161438,4.4289640940552,0,Sedang
2026-03-31,Tuesday,March,2207075,6198,69799,787,6063,76649,3.4728769978365026,2,Rendah
2026-04-01,Wednesday,April,1913261,5831,57837,745,4535,63117,3.2989226247751877,2,Rendah
2026-04-02,Thursday,April,4089565,12200,110618,869,6835,118322,2.893266154224227,2,Rendah
2026-04-03,Friday,April,3901919,9758,92998,470,6506,99974,2.562175175855778,2,Rendah
2026-04-04,Saturday,April,4812605,11718,134011,1830,10530,146371,3.0414089666615065,2,Rendah
2026-04-05,Sunday,April,2364438,6341,77706,1658,6210,85574,3.619210992210411,2,Rendah
2026-04-06,Monday,April,4748864,9912,182149,2716,10225,195090,4.1081403889435455,0,Sedang
2026-04-07,Tuesday,April,5748820,11943,136613,1647,7330,145590,2.5325197170897678,2,Rendah
2026-04-08,Wednesday,April,3231409,7232,87828,424,5390,93642,2.8978690100819797,2,Rendah
2026-04-09,Thursday,April,10142807,20533,282318,1679,15112,299109,2.9489765505742147,0,Sedang
2026-04-10,Friday,April,10467504,21419,380854,2484,38063,421401,4.025802139650484,0,Sedang
2026-04-11,Saturday,April,10228385,19388,519344,4178,43948,567470,5.547992180583739,0,Sedang
2026-04-12,Sunday,April,6280306,12635,249342,2525,26462,278329,4.431774502707352,0,Sedang
2026-04-13,Monday,April,3764883,6902,172711,1335,14718,188764,5.0138078660080545,0,Sedang
2026-04-14,Tuesday,April,2006631,4014,31437,50,3977,35464,1.7673403829602954,2,Rendah
2026-04-15,Wednesday,April,5638427,15982,178427,2454,23706,204587,3.628441052797172,0,Sedang
2026-04-16,Thursday,April,12776360,24464,576125,4070,52653,632848,4.95327307621263,0,Sedang
2026-04-17,Friday,April,8730449,16939,252878,1534,14940,269352,3.0852021471060653,0,Sedang
2026-04-18,Saturday,April,22853473,56834,855414,5672,47367,908453,3.975120105377419,1,Tinggi
2026-04-19,Sunday,April,10030137,21072,262613,2263,16732,281608,2.807618679585334,0,Sedang
2026-04-20,Monday,April,10736339,32803,488902,2605,24541,516048,4.806554636547896,0,Sedang
2026-04-21,Tuesday,April,9409203,19056,383076,3154,16469,402699,4.27984176768213,0,Sedang
2026-04-22,Wednesday,April,9306558,26519,474992,2128,22318,499438,5.3665168153467695,0,Sedang
2026-04-23,Thursday,April,3726378,7854,220202,-170,16654,236686,6.351636897813373,0,Sedang
2026-04-24,Friday,April,4121733,8182,128860,133,7161,136154,3.3033192591562823,2,Rendah
2026-04-25,Saturday,April,2325001,4606,59075,-242,4420,63253,2.720557969652486,2,Rendah
2026-04-26,Sunday,April,1734423,3684,31607,-206,2145,33546,1.93413025542212,2,Rendah
2026-04-27,Monday,April,2653833,6220,104775,187,4807,109769,4.136243689787563,2,Rendah
2026-04-28,Tuesday,April,8757492,31519,258385,2449,42858,303692,3.4677964878529153,0,Sedang
2026-04-29,Wednesday,April,8922615,58940,264095,11786,77866,353747,3.9646112714714246,0,Sedang
2026-04-30,Thursday,April,3044684,19387,76146,4076,24939,105161,3.453921654923795,2,Rendah
2026-05-01,Friday,May,1125081,2778,31543,-287,1829,33085,2.940677160133359,2,Rendah
2026-05-02,Saturday,May,571024,1762,15710,-610,1157,16257,2.846990669393931,2,Rendah
2026-05-03,Sunday,May,1162971,8543,38864,33,7902,46799,4.024090024600786,2,Rendah
2026-05-04,Monday,May,723408,4218,19113,-456,2892,21549,2.978816933182934,2,Rendah
2026-05-05,Tuesday,May,1611822,9345,48063,293,6023,54379,3.3737596335079183,2,Rendah
